英雄名,职业名,职业,生命,攻击,智力,防御,魔防,技巧,生命带小数,攻击带小数,智力带小数,防御带小数,魔防带小数,技巧带小数,铸纹生命,铸纹攻击,铸纹智力,铸纹防御,铸纹魔防,铸纹技巧,铸纹特效,铸纹特效生命,铸纹特效攻击,铸纹特效智力,铸纹特效防御,铸纹特效魔防,铸纹特效技巧,兵修生命,兵修攻击,兵修防御,兵修魔防,心之羁绊4,心之羁绊7,英雄头像,职业图标
自定义英雄,自定义,自定义,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,无,0,0,0,0,0,0,0,0,0,0,无,无,./image/自定义英雄头像.png,./image/自定义职业图标.png
阿布沙伊特,剑斗统帅,步兵,3800,584,242,290,232,149,3800.1424,584.170696,242.0418,290.456792,232.306933,148.52338,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.2,0.15,受到具有“弱化效果”的部队攻击进入战斗时，遭受伤害降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,https://wiki.biligame.com/langrisser/special:redirect/file/头像 阿布沙伊特.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
阿布沙伊特,灾厄神偶,魔物,4108,615,220,301,261,125,4107.7042,614.898367,220.221365,300.653342,260.653342,124.95984,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.2,0.15,部队血量100%时，遭受伤害降低10%。,主动攻击血量百分比高于自身的部队时，进入战斗后伤害提升10%。,https://wiki.biligame.com/langrisser/special:redirect/file/头像 阿布沙伊特.png,https://patchwiki.biligame.com/images/langrisser/f/f5/jtug5y6g75i6833lqx7y046grsymppz.png
鲁克曼,匡正之剑,步兵,4733,582,265,343,292,152,4733.10574,581.806128,264.62436,343.1441,292.251054,152.43776,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.2,0.35,0.25,0.2,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有5个以上的强化状态时，战斗中伤害提升10%。,https://wiki.biligame.com/langrisser/special:redirect/file/头像 鲁克曼.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
鲁克曼,护世天秤,枪兵,4405,582,265,370,257,178,4405.1095,581.806128,264.62436,369.85455,257.240208,178.45232,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.2,0.35,0.25,0.2,受到远程攻击时，进入战斗后，遭受伤害降低10%。,部队血量低于70%时，伤害提升10%。,https://wiki.biligame.com/langrisser/special:redirect/file/头像 鲁克曼.png,https://patchwiki.biligame.com/images/langrisser/2/2a/saybrdjne9pmhsrl3ejfs4qw6xo4dzy.png
幽瞳幻惑使,攫命惑心者,典藏魔物,4110,605,256,320,300,210,4110.383,604.8858,255.5982,320.207298,299.909992,209.91468,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.2,0.2,主动攻击进入战斗时，部队遭受伤害降低10%。,"与具有""弱化效果""的部队战斗时，伤害提升10%。",https://patchwiki.biligame.com/images/langrisser/thumb/e/ee/3crlteg7ajcf5ky160n5duo934w7ke6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B9%BD%E7%9E%B3%E5%B9%BB%E6%83%91%E4%BD%BF.png,https://patchwiki.biligame.com/images/langrisser/c/cf/62xr68xivqrmgh5s1meoxqmcrs4qwqr.png
幽瞳幻惑使,幽视暗裁者,典藏刺客,3796,605,256,296,300,230,3795.74972,604.8858,255.5982,296.393196,299.909992,230.203,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.4,0.2,0.2,"受到具有""弱化效果""的部队攻击进入战斗时，遭受伤害降低10%。",部队血量100%时，伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/e/ee/3crlteg7ajcf5ky160n5duo934w7ke6.png/82px-%E5%A4%B4%E5%83%8F_%E5%B9%BD%E7%9E%B3%E5%B9%BB%E6%83%91%E4%BD%BF.png,https://patchwiki.biligame.com/images/langrisser/4/42/2n446bnkotee4uhl38mbmm8jn9iwx9v.png
玛卡艾拉,寒光影姬,刺客,3928,566,244,298,270,295,3927.74972,565.617225,244.28976,298.125664,270.082483,294.66967,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.25,0.4,0.15,0.2,部队血量高于80%时，遭受暴击率降低10%。,与血量百分比低于自身的部队交战时，进入战斗后伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/t4q1jb0xztn4ysiu2skj5143u4766fr.png/82px-%E5%A4%B4%E5%83%8F_%E7%8E%9B%E5%8D%A1%E8%89%BE%E6%8B%89.png,https://patchwiki.biligame.com/images/langrisser/a/ac/cpm1rkszzarlqci2nuz59ddwjw04bg6.png
玛卡艾拉,幻梦舞姬,僧侣,4242,566,244,278,301,225,4242.383,565.617225,244.28976,278.452036,301.049042,224.75437,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.25,0.4,0.15,0.2,本部队有5个以上的强化状态时，战斗中遭受伤害降低10%。,部队血量高于80%时，战斗中造成伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/t4q1jb0xztn4ysiu2skj5143u4766fr.png/82px-%E5%A4%B4%E5%83%8F_%E7%8E%9B%E5%8D%A1%E8%89%BE%E6%8B%89.png,https://patchwiki.biligame.com/images/langrisser/3/3c/allgsv8p0tse5d7zd4edr2vfy1da2le.png
塞姆,复兴之剑,步兵,4792,585,249,352,274,172,4791.85625,584.5852,248.80284,351.85455,274.063872,171.88406,1000,150,30,90,90,20,无,0,0,0,0,0,0,0.3,0.35,0.2,0.15,部队血量低于70%时，进入战斗后遭受伤害降低10%。,本部队有6个以上强化状态时，范围伤害提升10%。,https://patchwiki.biligame.com/images/langrisser/thumb/5/54/2nabui9f06z07ofn6bjzwwzsu299kd0.png/82px-%E5%A4%B4%E5%83%8F_%E5%A1%9E%E5%A7%86.png,https://patchwiki.biligame.com/images/langrisser/2/2b/k9u2vm161ro6vg21nynagc2up9ag1wo.png
