装备名称,类别,生命,攻击,智力,防御,魔防,技巧,基础加成,满级特效,常驻生命,常驻攻击,常驻智力,常驻防御,常驻魔防,常驻技巧,满血生命,满血攻击,满血智力,满血防御,满血魔防,满血技巧,80血生命,80血攻击,80血智力,80血防御,80血魔防,80血技巧,50血生命,50血攻击,50血智力,50血防御,50血魔防,50血技巧,50血以下生命,50血以下攻击,50血以下智力,50血以下防御,50血以下魔防,50血以下技巧,图片地址
武器无,武器,0,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./image/武器未佩戴.png
衣服无,衣服,0,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./image/衣服未佩戴.png
头饰无,头饰,0,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./image/头饰未佩戴.png
饰品无,饰品,0,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./image/饰品未佩戴.png
帝授的荣勋(安德里奥专属),衣服,437,0,0,65,0,0,生命+437，防御+65,生命+10%。释放[誓忠]后，自身额外获得目标所有阵营，并且移动通过任意单位时，获得免除1格移动力降低的机会；[誓忠]友军主动攻击进入战斗未击杀敌军时，自身获得[敌忾]，持续2回合。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/qkiuekjzpx2iiflychl8j30izdf07fk.png/59px-%E5%B8%9D%E6%8E%88%E7%9A%84%E8%8D%A3%E5%8B%8B.png
1UP(雪莉专属),衣服,509,0,0,59,0,0,生命+509，防御+59,防御、魔防+5%。主动攻击进入战斗时，如果受到致命伤害，不会死亡。(该效果需要间隔4回合才能再次触发),0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/f/fe/knpzgub9i2b87naqiyuk2f5omnqo0c3.png/57px-1UP.png
Q巨拉,饰品,509,0,75,0,0,0,生命+509，智力+75,治疗效果+15%。使用单体支援技能时，增益效果持续回合数+1。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/a/a7/7033izv88toixoe6ze7adfg8utwhikz.png/59px-Q%E5%B7%A8%E6%8B%89.png
Y型视觉终端(琼&康娜专属),头饰,437,0,0,0,59,0,生命+437，魔防+59,生命+10% 和琼距离3格以内时，康娜暴击伤害提升15%。琼使用[信道干扰]可额外获得：“[指挥]自身周围2格范围内的敌军，受到康娜攻击时，无法被护卫”，持续2回合。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/2/21/3yfnwkj7e2yo5174u88pnciqr8c1mw2.png/59px-Y%E5%9E%8B%E8%A7%86%E8%A7%89%E7%BB%88%E7%AB%AF.png
■■■■(艾梅达专属),武器,583,0,85,0,0,0,生命+583，智力+85,智力+10%。主动攻击造成伤害后，使敌军“移动力”降低1格，且无法进行护卫，持续1回合。,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/8/80/l15irrrwmuwz60wvlljx52d73z9azw6.png/59px-%E2%96%A0%E2%96%A0%E2%96%A0%E2%96%A0.png
万古板甲,衣服,437,0,0,65,0,0,生命+437，防御+65,防御+10%。 遭受固定伤害降低10%。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/95/398at58otwqosfi5vdzm6taw1w0sdu6.png/50px-%E4%B8%87%E5%8F%A4%E6%9D%BF%E7%94%B2.png
万能工具帽(安杰丽卡专属),头饰,364,0,0,0,65,0,生命+364，魔防+65,魔防+10%。行动结束时，为全场生命最低的一个友军召唤物恢复30%生命。,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/svonxjsy7y9d1wzrf0rbk73dg8zl1hu.png/59px-%E4%B8%87%E8%83%BD%E5%B7%A5%E5%85%B7%E5%B8%BD.png
世界树的嫩枝,武器,583,85,0,0,0,0,生命+583，攻击+85,防御+10%。战斗时无视敌军防御15%。,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/c/c7/0isrrzp3nfhwyt08vrk40aby3v0f4ol.png/59px-%E4%B8%96%E7%95%8C%E6%A0%91%E7%9A%84%E5%AB%A9%E6%9E%9D.png
世界树的繁花(拉姆达专属),饰品,0,0,75,0,43,0,智力+75，魔防+43,智力+5%。使用技能时，每对1个目标造成伤害则有10%概率使技能冷却时间-5(概率最高可以提升至50%)。,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/a/ac/cts6rsa86wcx589pb5opxusak853gj4.png/53px-%E4%B8%96%E7%95%8C%E6%A0%91%E7%9A%84%E7%B9%81%E8%8A%B1.png
义贼的假面(银狼专属),头饰,437,0,0,0,59,0,生命+437，魔防+59,魔防+5%。主动攻击进入战斗时，如果自身强化状态数量大于等于敌军强化状态数量的2倍，会先于敌军进行攻击。,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/b/bc/nggwyi86x4prawygiiyfrtph07xh5mt.png/55px-%E4%B9%89%E8%B4%BC%E7%9A%84%E5%81%87%E9%9D%A2.png
乌勒尔之弓,武器,0,107,0,0,0,43,攻击+107，技巧+43,物理伤害降低10%，部队的普通攻击射程提升1。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/e/e1/horkru8zhqjffhv7hiqdglkzx8tnj78.png/59px-%E4%B9%8C%E5%8B%92%E5%B0%94%E4%B9%8B%E5%BC%93.png
亘古的呼唤,头饰,437,0,0,0,59,0,生命+437，魔防+59,生命+10%。受到伤害后获得“造成伤害提升15%”，持续1回合。,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/9/93/9lcry7wdcbajikgipsixrqv1f2dl8nb.png/57px-%E4%BA%98%E5%8F%A4%E7%9A%84%E5%91%BC%E5%94%A4.png
亚斯塔禄,武器,437,0,107,0,0,0,生命+437，智力+107,和有弱化效果的敌军进入战斗时，智力提升15%。主动进入战斗时，战后有30%概率使敌军“晕眩”，持续1回合。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/6/60/1cmwqhshn0t9zarz70utue0qzospfpn.png/58px-%E4%BA%9A%E6%96%AF%E5%A1%94%E7%A6%84.png
交织的夙愿(光影剑魄专属),衣服,437,0,0,65,0,0,生命+437，防御+65,生命，防御+5%。与拥有[抵挡致命伤害]的敌军战斗时，部队攻防提升10%。自身触发[抵挡致命伤害]后，会在所在位置生成[魂屑]。（[触发冷却]该效果需间隔3个回合才能再次触发）,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/e/e8/p729ocop7o3x3omk9v1i9m35gnetjfx.png/54px-%E4%BA%A4%E7%BB%87%E7%9A%84%E5%A4%99%E6%84%BF.png
仲夜繁花,武器,437,0,107,0,0,0,生命+437，智力+107,智力+10%。对友军施放技能时驱散1个弱化效果。,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/8/81/1od9qcoovysyc2j195fqo575y81yg0a.png/58px-%E4%BB%B2%E5%A4%9C%E7%B9%81%E8%8A%B1.png
信仰的试炼(雷丁专属),武器,583,85,0,0,0,0,生命+583，攻击+85,防御、魔防+5%。击杀敌军后获得效果“抵挡一次致命伤害，之后英雄生命值恢复到本次伤害之前的血量，该状态持续期间最多触发一次复活效果”，持续1回合。（该效果需要间隔2回合才能再次触发）,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://patchwiki.biligame.com/images/langrisser/thumb/b/ba/83j5fp1lpgtzry8is2r42nzjcvqxvc8.png/59px-%E4%BF%A1%E4%BB%B0%E7%9A%84%E8%AF%95%E7%82%BC.png
